2017-01-22 19:58:14 +0100 | Logfile created at log/prnstn.log
2017-01-26 11:27:36 +0100 || Prnstn is starting...
2017-01-26 11:27:36 +0100 || Token provided: 1234
2017-01-26 11:27:36 +0100 || Start application...
2017-01-26 11:27:36 +0100 || Checking printer...
2017-01-26 11:27:36 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:45 +0100 || ----------------
2017-01-26 11:27:45 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:45 +0100 || ----------------
2017-01-26 11:27:45 +0100 || Init application...
2017-01-26 11:27:45 +0100 || Prnstn is starting...
2017-01-26 11:27:45 +0100 || Token provided: 1234
2017-01-26 11:27:45 +0100 || Start application...
2017-01-26 11:27:45 +0100 || Checking printer...
2017-01-26 11:27:45 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:47 +0100 || ----------------
2017-01-26 11:27:47 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:47 +0100 || ----------------
2017-01-26 11:27:47 +0100 || Init application...
2017-01-26 11:27:47 +0100 || Prnstn is starting...
2017-01-26 11:27:47 +0100 || Token provided: 1234
2017-01-26 11:27:47 +0100 || Start application...
2017-01-26 11:27:47 +0100 || Checking printer...
2017-01-26 11:27:47 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:48 +0100 || ----------------
2017-01-26 11:27:48 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:48 +0100 || ----------------
2017-01-26 11:27:48 +0100 || Init application...
2017-01-26 11:27:48 +0100 || Prnstn is starting...
2017-01-26 11:27:48 +0100 || Token provided: 1234
2017-01-26 11:27:48 +0100 || Start application...
2017-01-26 11:27:48 +0100 || Checking printer...
2017-01-26 11:27:48 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:49 +0100 || ----------------
2017-01-26 11:27:49 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:49 +0100 || ----------------
2017-01-26 11:27:49 +0100 || Init application...
2017-01-26 11:27:49 +0100 || Prnstn is starting...
2017-01-26 11:27:49 +0100 || Token provided: 1234
2017-01-26 11:27:49 +0100 || Start application...
2017-01-26 11:27:49 +0100 || Checking printer...
2017-01-26 11:27:49 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:50 +0100 || ----------------
2017-01-26 11:27:50 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:50 +0100 || ----------------
2017-01-26 11:27:50 +0100 || Init application...
2017-01-26 11:27:50 +0100 || Prnstn is starting...
2017-01-26 11:27:50 +0100 || Token provided: 1234
2017-01-26 11:27:50 +0100 || Start application...
2017-01-26 11:27:50 +0100 || Checking printer...
2017-01-26 11:27:50 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:52 +0100 || ----------------
2017-01-26 11:27:52 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:52 +0100 || ----------------
2017-01-26 11:27:52 +0100 || Init application...
2017-01-26 11:27:52 +0100 || Prnstn is starting...
2017-01-26 11:27:52 +0100 || Token provided: 1234
2017-01-26 11:27:52 +0100 || Start application...
2017-01-26 11:27:52 +0100 || Checking printer...
2017-01-26 11:27:52 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:53 +0100 || ----------------
2017-01-26 11:27:53 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:53 +0100 || ----------------
2017-01-26 11:27:53 +0100 || Init application...
2017-01-26 11:27:53 +0100 || Prnstn is starting...
2017-01-26 11:27:53 +0100 || Token provided: 1234
2017-01-26 11:27:53 +0100 || Start application...
2017-01-26 11:27:53 +0100 || Checking printer...
2017-01-26 11:27:53 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:56 +0100 || ----------------
2017-01-26 11:27:56 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:56 +0100 || ----------------
2017-01-26 11:27:56 +0100 || Init application...
2017-01-26 11:27:56 +0100 || Prnstn is starting...
2017-01-26 11:27:56 +0100 || Token provided: 1234
2017-01-26 11:27:56 +0100 || Start application...
2017-01-26 11:27:56 +0100 || Checking printer...
2017-01-26 11:27:56 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:28:01 +0100 || ----------------
2017-01-26 11:28:01 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:01 +0100 || ----------------
2017-01-26 11:28:01 +0100 || Init application...
2017-01-26 11:28:01 +0100 || Prnstn is starting...
2017-01-26 11:28:01 +0100 || Token provided: 1234
2017-01-26 11:28:01 +0100 || Start application...
2017-01-26 11:28:01 +0100 || Checking printer...
2017-01-26 11:28:01 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:28:02 +0100 || ----------------
2017-01-26 11:28:02 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:02 +0100 || ----------------
2017-01-26 11:28:02 +0100 || Init application...
2017-01-26 11:28:02 +0100 || Prnstn is starting...
2017-01-26 11:28:02 +0100 || Token provided: 1234
2017-01-26 11:28:02 +0100 || Start application...
2017-01-26 11:28:02 +0100 || Checking printer...
2017-01-26 11:28:02 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:04 +0100 || ----------------
2017-01-26 11:28:04 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:04 +0100 || ----------------
2017-01-26 11:28:04 +0100 || Init application...
2017-01-26 11:28:04 +0100 || Prnstn is starting...
2017-01-26 11:28:04 +0100 || Token provided: 1234
2017-01-26 11:28:04 +0100 || Start application...
2017-01-26 11:28:04 +0100 || Checking printer...
2017-01-26 11:28:04 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:05 +0100 || ----------------
2017-01-26 11:28:05 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:05 +0100 || ----------------
2017-01-26 11:28:05 +0100 || Init application...
2017-01-26 11:28:05 +0100 || Prnstn is starting...
2017-01-26 11:28:05 +0100 || Token provided: 1234
2017-01-26 11:28:05 +0100 || Start application...
2017-01-26 11:28:05 +0100 || Checking printer...
2017-01-26 11:28:05 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:07 +0100 || ----------------
2017-01-26 11:28:07 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:07 +0100 || ----------------
2017-01-26 11:28:07 +0100 || Init application...
2017-01-26 11:28:07 +0100 || Prnstn is starting...
2017-01-26 11:28:07 +0100 || Token provided: 1234
2017-01-26 11:28:07 +0100 || Start application...
2017-01-26 11:28:07 +0100 || Checking printer...
2017-01-26 11:28:07 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:08 +0100 || ----------------
2017-01-26 11:28:08 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:08 +0100 || ----------------
2017-01-26 11:28:08 +0100 || Init application...
2017-01-26 11:28:08 +0100 || Prnstn is starting...
2017-01-26 11:28:08 +0100 || Token provided: 1234
2017-01-26 11:28:08 +0100 || Start application...
2017-01-26 11:28:08 +0100 || Checking printer...
2017-01-26 11:28:08 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:09 +0100 || ----------------
2017-01-26 11:28:09 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:09 +0100 || ----------------
2017-01-26 11:28:09 +0100 || Init application...
2017-01-26 11:28:09 +0100 || Prnstn is starting...
2017-01-26 11:28:09 +0100 || Token provided: 1234
2017-01-26 11:28:09 +0100 || Start application...
2017-01-26 11:28:09 +0100 || Checking printer...
2017-01-26 11:28:09 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:10 +0100 || ----------------
2017-01-26 11:28:10 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:10 +0100 || ----------------
2017-01-26 11:28:10 +0100 || Init application...
2017-01-26 11:28:10 +0100 || Prnstn is starting...
2017-01-26 11:28:10 +0100 || Token provided: 1234
2017-01-26 11:28:10 +0100 || Start application...
2017-01-26 11:28:10 +0100 || Checking printer...
2017-01-26 11:28:10 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:11 +0100 || ----------------
2017-01-26 11:28:11 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:11 +0100 || ----------------
2017-01-26 11:28:11 +0100 || Init application...
2017-01-26 11:28:11 +0100 || Prnstn is starting...
2017-01-26 11:28:11 +0100 || Token provided: 1234
2017-01-26 11:28:11 +0100 || Start application...
2017-01-26 11:28:11 +0100 || Checking printer...
2017-01-26 11:28:12 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:01 +0100)
2017-01-26 11:28:19 +0100 || ----------------
2017-01-26 11:28:19 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:19 +0100 || ----------------
2017-01-26 11:28:19 +0100 || Init application...
2017-01-26 11:28:19 +0100 || Prnstn is starting...
2017-01-26 11:28:19 +0100 || Token provided: 1234
2017-01-26 11:28:19 +0100 || Start application...
2017-01-26 11:28:19 +0100 || Checking printer...
2017-01-26 11:28:19 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:16 +0100)
2017-01-26 11:28:39 +0100 || ----------------
2017-01-26 11:28:39 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:28:39 +0100 || ----------------
2017-01-26 11:28:39 +0100 || Init application...
2017-01-26 11:28:39 +0100 || Prnstn is starting...
2017-01-26 11:28:39 +0100 || Token provided: 1234
2017-01-26 11:28:39 +0100 || Start application...
2017-01-26 11:28:39 +0100 || Checking printer...
2017-01-26 11:28:39 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:16 +0100)
2017-01-26 11:33:03 +0100 || ----------------
2017-01-26 11:33:03 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:33:03 +0100 || ----------------
2017-01-26 11:33:03 +0100 || Init application...
2017-01-26 11:33:03 +0100 || Prnstn is starting...
2017-01-26 11:33:03 +0100 || Token provided: 1234
2017-01-26 11:33:03 +0100 || Start application...
2017-01-26 11:33:03 +0100 || Checking printer...
2017-01-26 11:33:03 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:16 +0100)
2017-01-26 11:33:33 +0100 || ----------------
2017-01-26 11:33:33 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:33:33 +0100 || ----------------
2017-01-26 11:33:33 +0100 || Init application...
2017-01-26 11:33:33 +0100 || Prnstn is starting...
2017-01-26 11:33:33 +0100 || Token provided: 1234
2017-01-26 11:33:33 +0100 || Start application...
2017-01-26 11:33:33 +0100 || Checking printer...
2017-01-26 11:33:33 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:16 +0100)
2017-01-26 11:34:09 +0100 || ----------------
2017-01-26 11:34:09 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:34:09 +0100 || ----------------
2017-01-26 11:34:09 +0100 || Init application...
2017-01-26 11:34:09 +0100 || Prnstn is starting...
2017-01-26 11:34:09 +0100 || Token provided: 1234
2017-01-26 11:34:09 +0100 || Start application...
2017-01-26 11:34:09 +0100 || Checking printer...
2017-01-26 11:34:27 +0100 || ----------------
2017-01-26 11:34:27 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:34:27 +0100 || ----------------
2017-01-26 11:34:27 +0100 || Init application...
2017-01-26 11:34:27 +0100 || Prnstn is starting...
2017-01-26 11:34:27 +0100 || Token provided: 1234
2017-01-26 11:34:27 +0100 || Start application...
2017-01-26 11:34:27 +0100 || Checking printer...
2017-01-26 11:34:45 +0100 || ----------------
2017-01-26 11:34:45 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:34:45 +0100 || ----------------
2017-01-26 11:34:45 +0100 || Init application...
2017-01-26 11:34:45 +0100 || Prnstn is starting...
2017-01-26 11:34:45 +0100 || Token provided: 1234
2017-01-26 11:34:45 +0100 || Start application...
2017-01-26 11:34:45 +0100 || Checking printer...
2017-01-26 11:34:45 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:28:16 +0100)
2017-01-26 11:35:46 +0100 || ----------------
2017-01-26 11:35:46 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:35:46 +0100 || ----------------
2017-01-26 11:35:46 +0100 || Init application...
2017-01-26 11:35:46 +0100 || Prnstn is starting...
2017-01-26 11:35:46 +0100 || Token provided: 1234
2017-01-26 11:35:46 +0100 || Start application...
2017-01-26 11:35:46 +0100 || Checking printer...
2017-01-26 11:35:46 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:35:01 +0100)
2017-01-26 11:35:46 +0100 || Print test...
2017-01-26 11:35:46 +0100 || processing
2017-01-26 11:37:39 +0100 || ----------------
2017-01-26 11:37:39 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:37:39 +0100 || ----------------
2017-01-26 11:37:39 +0100 || Init application...
2017-01-26 11:37:39 +0100 || Prnstn is starting...
2017-01-26 11:37:39 +0100 || Token provided: 1234
2017-01-26 11:37:39 +0100 || Start application...
2017-01-26 11:37:39 +0100 || Checking printer...
2017-01-26 11:37:39 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:35:57 +0100)
2017-01-26 11:37:39 +0100 || Print test...
2017-01-26 11:37:39 +0100 || Job status processing
2017-01-26 11:37:39 +0100 || Checking printer...
2017-01-26 11:37:39 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:37:39 +0100)
2017-01-26 11:37:42 +0100 || ----------------
2017-01-26 11:37:42 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:37:42 +0100 || ----------------
2017-01-26 11:37:42 +0100 || Init application...
2017-01-26 11:37:42 +0100 || Prnstn is starting...
2017-01-26 11:37:42 +0100 || Token provided: 1234
2017-01-26 11:37:42 +0100 || Start application...
2017-01-26 11:37:42 +0100 || Checking printer...
2017-01-26 11:37:42 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:37:39 +0100)
2017-01-26 11:37:42 +0100 || Print test...
2017-01-26 11:37:42 +0100 || Job status pending
2017-01-26 11:37:42 +0100 || Checking printer...
2017-01-26 11:37:42 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:37:39 +0100)
2017-01-26 11:40:14 +0100 || ----------------
2017-01-26 11:40:14 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:40:14 +0100 || ----------------
2017-01-26 11:40:14 +0100 || Init application...
2017-01-26 11:40:14 +0100 || Prnstn is starting...
2017-01-26 11:40:14 +0100 || Token provided: 1234
2017-01-26 11:40:14 +0100 || Start application...
2017-01-26 11:40:14 +0100 || Finding a printer...
2017-01-26 11:40:14 +0100 || A printer was found! HP-Officejet-Pro-8610
2017-01-26 11:40:14 +0100 || Checking printer status...
2017-01-26 11:40:14 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:37:57 +0100)
2017-01-26 11:40:27 +0100 || ----------------
2017-01-26 11:40:27 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:40:27 +0100 || ----------------
2017-01-26 11:40:27 +0100 || Init application...
2017-01-26 11:40:27 +0100 || Prnstn is starting...
2017-01-26 11:40:27 +0100 || Token provided: 1234
2017-01-26 11:40:27 +0100 || Start application...
2017-01-26 11:40:27 +0100 || Finding a printer...
2017-01-26 11:40:27 +0100 || A printer was found! HP-Officejet-Pro-8610
2017-01-26 11:40:27 +0100 || Checking printer status...
2017-01-26 11:40:27 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:37:57 +0100)
2017-01-26 11:40:27 +0100 || Print test...
2017-01-26 11:40:27 +0100 || Job status processing
2017-01-26 11:40:27 +0100 || Checking printer status...
2017-01-26 11:40:27 +0100 || *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:40:27 +0100)
2017-01-26 11:41:05 +0100 || ----------------
2017-01-26 11:41:05 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:41:05 +0100 || ----------------
2017-01-26 11:41:05 +0100 || Init application...
2017-01-26 11:41:05 +0100 || Prnstn is starting...
2017-01-26 11:41:05 +0100 || Token provided: 1234
2017-01-26 11:41:05 +0100 || Start application...
2017-01-26 11:41:05 +0100 || Finding a printer...
2017-01-26 11:41:05 +0100 || A printer was found! HP-Officejet-Pro-8610
2017-01-26 11:41:05 +0100 || Checking printer status...
2017-01-26 11:41:05 +0100 || *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:40:27 +0100)
2017-01-26 11:41:05 +0100 || Print test...
2017-01-26 11:41:05 +0100 || Job status pending
2017-01-26 11:41:05 +0100 || Checking printer status...
2017-01-26 11:41:05 +0100 || *HP-Officejet-Pro-8610* | State: printing ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:40:27 +0100)
2017-01-26 11:41:31 +0100 || ----------------
2017-01-26 11:41:31 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:41:31 +0100 || ----------------
2017-01-26 11:41:31 +0100 || Init application...
2017-01-26 11:41:31 +0100 || Prnstn is starting...
2017-01-26 11:41:31 +0100 || Token provided: 1234
2017-01-26 11:41:31 +0100 || Start application...
2017-01-26 11:41:31 +0100 || Finding a printer...
2017-01-26 11:41:31 +0100 || A printer was found! *HP-Officejet-Pro-8610*
2017-01-26 11:41:31 +0100 || Checking printer status...
2017-01-26 11:41:31 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 11:41:31 +0100 || Print test...
2017-01-26 11:42:09 +0100 || ----------------
2017-01-26 11:42:09 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:42:09 +0100 || ----------------
2017-01-26 11:42:09 +0100 || Init application...
2017-01-26 11:42:09 +0100 || Prnstn is starting...
2017-01-26 11:42:09 +0100 || Token provided: 1234
2017-01-26 11:42:09 +0100 || Start application...
2017-01-26 11:42:09 +0100 || Finding a printer...
2017-01-26 11:42:09 +0100 || A printer was found! *HP-Officejet-Pro-8610*
2017-01-26 11:42:09 +0100 || Checking printer status...
2017-01-26 11:42:09 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 11:42:09 +0100 || Print test...
2017-01-26 11:42:43 +0100 || ----------------
2017-01-26 11:42:43 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:42:43 +0100 || ----------------
2017-01-26 11:42:43 +0100 || Init application...
2017-01-26 11:42:43 +0100 || Prnstn is starting...
2017-01-26 11:42:43 +0100 || Token provided: 1234
2017-01-26 11:42:43 +0100 || Start application...
2017-01-26 11:42:43 +0100 || Finding a printer...
2017-01-26 11:42:43 +0100 || A printer was found! *HP-Officejet-Pro-8610*
2017-01-26 11:42:43 +0100 || Checking printer status...
2017-01-26 11:42:43 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 11:42:43 +0100 || Print test...
2017-01-26 11:42:51 +0100 || ----------------
2017-01-26 11:42:51 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:42:51 +0100 || ----------------
2017-01-26 11:42:51 +0100 || Init application...
2017-01-26 11:42:51 +0100 || Prnstn is starting...
2017-01-26 11:42:51 +0100 || Token provided: 1234
2017-01-26 11:42:51 +0100 || Start application...
2017-01-26 11:42:51 +0100 || Finding a printer...
2017-01-26 11:42:51 +0100 || A printer was found! *HP-Officejet-Pro-8610*
2017-01-26 11:42:51 +0100 || Checking printer status...
2017-01-26 11:42:51 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 11:42:51 +0100 || Print test...
2017-01-26 11:42:57 +0100 || ----------------
2017-01-26 11:42:57 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:42:57 +0100 || ----------------
2017-01-26 11:42:57 +0100 || Init application...
2017-01-26 11:42:57 +0100 || Prnstn is starting...
2017-01-26 11:42:57 +0100 || Token provided: 1234
2017-01-26 11:42:57 +0100 || Start application...
2017-01-26 11:42:57 +0100 || Finding a printer...
2017-01-26 11:42:57 +0100 || A printer was found! *HP-Officejet-Pro-8610*
2017-01-26 11:42:57 +0100 || Checking printer status...
2017-01-26 11:42:57 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 11:42:57 +0100 || Print test...
2017-01-26 11:42:57 +0100 || No job has been done
2017-01-26 11:42:57 +0100 || Checking printer status...
2017-01-26 11:42:57 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Copies: 1 | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 11:43:23 +0100 || ----------------
2017-01-26 11:43:23 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:43:23 +0100 || ----------------
2017-01-26 11:43:23 +0100 || Init application...
2017-01-26 11:43:23 +0100 || Prnstn is starting...
2017-01-26 11:43:23 +0100 || Token provided: 1234
2017-01-26 11:43:23 +0100 || Start application...
2017-01-26 11:43:23 +0100 || Finding a printer...
2017-01-26 11:43:23 +0100 || A printer was found! *HP-Officejet-Pro-8610*
2017-01-26 11:43:23 +0100 || Checking printer status...
2017-01-26 11:43:23 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 11:43:23 +0100 || Print test...
2017-01-26 11:43:23 +0100 || No job has been done
2017-01-26 11:43:23 +0100 || Checking printer status...
2017-01-26 11:43:23 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 12:02:11 +0100 || ----------------
2017-01-26 12:02:11 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 12:02:11 +0100 || ----------------
2017-01-26 12:02:11 +0100 || Init application...
2017-01-26 12:02:11 +0100 || Prnstn is starting...
2017-01-26 12:02:11 +0100 || Token provided: 1234
2017-01-26 12:02:11 +0100 || Start application...
2017-01-26 12:02:11 +0100 || Finding a printer...
2017-01-26 12:02:11 +0100 || A printer was found! *HP-Officejet-Pro-8610*
2017-01-26 12:02:11 +0100 || Checking printer status...
2017-01-26 12:02:11 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Last usage: 2017-01-26 11:41:20 +0100)
2017-01-26 12:02:11 +0100 || Print test...
2017-01-26 12:02:11 +0100 || No job has been done
2017-01-26 12:02:11 +0100 || Checking printer status...
2017-01-26 12:02:11 +0100 || *HP-Officejet-Pro-8610* | State: idle ~ "none"  | Last usage: 2017-01-26 11:41:20 +0100)
